year,days_since_0401,bird_density
2010,-44,3.09521
2010,-43,1.24416
2010,-42,4.87082
2010,-41,7.64349
2010,-40,5.19632
2010,-39,4.46098
2010,-38,3.75361
2010,-37,3.73330
2010,-36,22.96394
2010,-35,13.05299
2010,-34,14.91188
2010,-33,7.84903
2010,-32,4.17765
2010,-31,6.68993
2010,-30,6.22510
2010,-29,3.24258
2010,-28,2.32793
2010,-27,3.35859
2010,-26,4.93787
2010,-25,2.20546
2010,-23,1.68024
2010,-21,2.69735
2010,-17,9.98066
2010,-16,31.78585
2010,-14,13.51953
2010,-12,9.42324
2010,-10,43.35919
2010,-9,20.30512
2010,-7,13.84422
2010,-5,11.87929
2010,-4,9.79700
2010,-3,4.28751
2010,-2,13.14706
2010,-1,4.97179
2010,0,7.56354
2010,2,5.68774
2010,3,5.72468
2010,4,8.82087
2010,5,12.61752
2010,8,8.41021
2010,10,2.90495
2010,11,3.03471
2010,12,4.14777
2010,15,3.55256
2010,16,17.23647
2010,18,10.96602
2010,19,8.84106
2010,20,5.09945
2010,23,14.07191
2010,24,16.15167
2010,25,5.33640
2010,26,4.76141
2010,27,7.99822
2010,28,6.77877
2010,29,4.72722
2011,-45,6.05042
2011,-44,8.03389
2011,-43,2.13773
2011,-42,1.14803
2011,-41,1.26662
2011,-40,2.14161
2011,-39,2.66047
2011,-38,2.71884
2011,-37,3.96216
2011,-36,13.89154
2011,-35,15.33398
2011,-34,10.28414
2011,-33,2.19496
2011,-32,1.49189
2011,-31,1.40397
2011,-30,0.90559
2011,-28,4.93372
2011,-27,3.62206
2011,-26,3.76615
2011,-25,8.44331
2011,-24,23.31312
2011,-23,8.28722
2011,-22,10.04260
2011,-21,15.85635
2011,-20,8.55344
2011,-19,7.09348
2011,-18,6.43847
2011,-17,4.23097
2011,-16,2.64603
2011,-15,4.48610
2011,-14,6.43963
2011,-13,42.72019
2011,-12,42.72637
2011,-11,24.30829
2011,-10,14.48628
2011,-9,6.12983
2011,-8,10.51660
2011,-7,13.17972
2011,-6,13.01725
2011,-5,8.27659
2011,-4,13.10664
2011,-3,22.19679
2011,-2,13.80973
2014,-45,5.10649
2014,-43,7.18939
2014,-42,10.72139
2014,-41,8.75350
2014,-40,3.57687
2014,-39,10.12043
2014,-38,12.17736
2014,-37,5.53751
2014,-36,8.69473
2014,-35,8.48098
2014,-34,10.95816
2014,-33,9.36380
2014,-32,2.99705
2014,-31,5.24779
2014,-30,8.11913
2014,-29,9.80609
2014,-28,12.28313
2014,-27,14.57082
2014,-26,20.25693
2014,-25,9.50722
2014,-24,12.62946
2014,-23,26.49580
2014,-22,29.77017
2014,-21,2.33453
2014,-20,12.05143
2014,-19,13.88399
2014,-18,21.64015
2014,-17,15.35637
2014,-16,20.95070
2014,-15,15.23040
2014,-14,11.62731
2014,-13,23.90355
2014,-12,14.49982
2014,-11,14.64918
2014,-10,8.36451
2014,-9,6.53884
2014,-8,4.90235
2014,-7,3.86775
2014,-6,3.88027
2014,-5,6.31181
2014,-4,9.17740
2014,-3,16.20494
2014,-2,17.63791
